atp_last,attended_last,attended_prior,clientcode,dimcustomermasterid,distance,events_last,events_prior,lkupclientid,product_current,product_last,product,sascore,seasonyear,scoredate,tenure
22.0,6,6,GALAXY,437182905,182.21,13,13,6,None,Full Season,Full Season,46.0,2022,2022-06-23,0
60.0,1,1,GALAXY,437182907,147.22,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
49.9,2,2,GALAXY,437182998,220.1,2,2,6,None,Individual,None,81.0,2022,2022-06-23,0
32.5,1,1,GALAXY,437183076,20.26,1,1,6,None,Individual,None,95.53,2022,2022-06-23,0
25.33,1,1,GALAXY,437183135,6.27,1,1,6,None,Individual,None,73.88,2022,2022-06-23,0
52.65,1,1,GALAXY,437183149,19.93,2,2,6,None,Individual,None,90.0,2022,2022-06-23,0
29.81,1,1,GALAXY,437183196,78.22,1,1,6,None,Individual,None,99.5,2022,2022-06-23,0
43.33,1,1,GALAXY,437183215,29.09,1,1,6,None,Individual,None,80.60000000000001,2022,2022-06-23,0
135.5,1,1,GALAXY,437183232,46.15,1,1,6,None,Individual,None,80.0,2022,2022-06-23,0
25.0,0,0,GALAXY,437183233,8.67,1,1,6,None,None,None,97.72999999999999,2022,2022-06-23,0
38.0,1,1,GALAXY,437183241,23.52,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
51.5,1,1,GALAXY,437183262,35.09,1,1,6,None,Individual,None,88.0,2022,2022-06-23,0
43.9,1,1,GALAXY,437183269,147.08,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
68.28,2,2,GALAXY,437183316,62.25,2,2,6,None,Individual,None,87.0,2022,2022-06-23,0
35.08,17,17,GALAXY,437183325,2177.71,17,17,6,None,Full Season,Full Season,97.0,2022,2022-06-23,0
32.32,2,2,GALAXY,437183342,28.35,2,2,6,None,Group,None,54.0,2022,2022-06-23,0
21.0,0,0,GALAXY,437183398,10.49,2,2,6,None,None,None,97.39999999999999,2022,2022-06-23,0
60.0,1,1,GALAXY,437183420,36.8,1,1,6,None,Group,None,80.0,2022,2022-06-23,0
22.68,13,13,GALAXY,437183457,1329.33,13,13,6,None,Full Season,Full Season,73.0,2022,2022-06-23,0
72.0,1,1,GALAXY,437183635,14.7,1,1,6,None,Individual,None,98.0,2022,2022-06-23,0
38.0,1,1,GALAXY,437183688,15.59,1,1,6,None,Individual,None,84.0,2022,2022-06-23,0
80.0,0,0,GALAXY,437183697,16.5,1,1,6,None,None,None,100.0,2022,2022-06-23,0
20.0,1,1,GALAXY,437183762,10.21,1,1,6,None,Group,None,88.19,2022,2022-06-23,0
21.24,17,17,GALAXY,437183860,147.22,17,17,6,None,Full Season,Full Season,70.0,2022,2022-06-23,0
43.5,0,0,GALAXY,437183877,77.01,1,1,6,None,None,None,85.0,2022,2022-06-23,0
47.5,1,1,GALAXY,437183910,147.22,1,1,6,None,Individual,None,99.0,2022,2022-06-23,0
80.93,1,1,GALAXY,437183946,147.22,1,1,6,None,Individual,None,50.0,2022,2022-06-23,0
55.0,0,0,GALAXY,437183983,147.22,2,2,6,None,None,None,90.0,2022,2022-06-23,0
40.0,0,0,GALAXY,437184044,78.88,1,1,6,None,None,None,79.0,2022,2022-06-23,0
44.34,16,16,GALAXY,437184054,48.5,17,17,6,None,Full Season,Full Season,100.0,2022,2022-06-23,0
51.5,1,1,GALAXY,437184121,9.87,1,1,6,None,Individual,None,90.75,2022,2022-06-23,0
21.73,7,7,GALAXY,437184136,49.65,7,7,6,None,Partial Plan,Partial Plan,41.0,2022,2022-06-23,0
28.0,1,1,GALAXY,437184181,101.52,1,1,6,None,Individual,Group,65.75,2022,2022-06-23,0
34.31,10,10,GALAXY,437184251,104.2,13,13,6,None,Full Season,None,70.0,2022,2022-06-23,0
46.23,4,4,GALAXY,437184270,7.5,4,4,6,None,Group,None,48.0,2022,2022-06-23,0
40.18,12,12,GALAXY,437184271,44.6,13,13,6,None,Full Season,None,52.0,2022,2022-06-23,0
88.0,1,1,GALAXY,437184277,14.7,1,1,6,None,Individual,None,96.33,2022,2022-06-23,0
36.71,14,14,GALAXY,437184295,17.26,16,16,6,None,Full Season,Full Season,90.0,2022,2022-06-23,0
22.24,16,16,GALAXY,437184412,32.73,17,17,6,None,Full Season,Full Season,78.0,2022,2022-06-23,0
14.5,1,1,GALAXY,437184420,22.36,1,1,6,None,Group,None,100.0,2022,2022-06-23,0
25.0,3,3,GALAXY,437184429,4.42,4,4,6,None,Group,None,86.0,2022,2022-06-23,0
40.0,0,0,GALAXY,437184431,18.75,1,1,6,None,None,None,81.0,2022,2022-06-23,0
24.0,2,2,GALAXY,437184470,147.22,2,2,6,None,Group,None,73.0,2022,2022-06-23,0
38.0,1,1,GALAXY,437184476,55.83,1,1,6,None,Individual,None,90.0,2022,2022-06-23,0
61.89,1,1,GALAXY,437184482,25.28,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
47.5,3,3,GALAXY,437184490,27.17,4,4,6,None,Mini Plan,None,53.0,2022,2022-06-23,0
41.0,1,1,GALAXY,437184551,15.42,2,2,6,None,Individual,None,87.0,2022,2022-06-23,0
30.64,13,13,GALAXY,437184561,32.73,13,13,6,None,Full Season,Full Season,87.0,2022,2022-06-23,0
29.0,1,1,GALAXY,437184611,6.79,1,1,6,None,Individual,None,95.25,2022,2022-06-23,0
27.93,12,12,GALAXY,437184662,10.21,14,14,6,None,Full Season,Full Season,63.0,2022,2022-06-23,0
20.0,2,2,GALAXY,437184672,147.22,2,2,6,None,Group,None,73.0,2022,2022-06-23,0
59.5,1,1,GALAXY,437184677,60.67,1,1,6,None,Individual,None,96.0,2022,2022-06-23,0
30.0,1,1,GALAXY,437184687,96.72,1,1,6,None,Group,None,58.879999999999995,2022,2022-06-23,0
25.0,1,1,GALAXY,437184707,147.22,1,1,6,None,Group,None,100.0,2022,2022-06-23,0
24.13,13,13,GALAXY,437184724,47.58,14,14,6,None,Full Season,Full Season,63.0,2022,2022-06-23,0
32.98,13,13,GALAXY,437184728,17.19,13,13,6,None,Full Season,Full Season,78.0,2022,2022-06-23,0
23.0,0,0,GALAXY,437184753,22.03,1,1,6,None,None,None,96.0,2022,2022-06-23,0
44.21,4,4,GALAXY,437184788,43.69,4,4,6,None,Mini Plan,None,70.0,2022,2022-06-23,0
264.41,17,17,GALAXY,437184791,27.7,17,17,6,None,Full Season,Full Season,70.0,2022,2022-06-23,0
24.56,12,12,GALAXY,437184798,47.58,14,14,6,None,Full Season,Full Season,62.0,2022,2022-06-23,0
45.0,0,0,GALAXY,437184823,48.03,1,1,6,None,None,None,92.57,2022,2022-06-23,0
22.98,17,17,GALAXY,437184831,81.88,17,17,6,None,Full Season,Full Season,85.0,2022,2022-06-23,0
23.0,1,1,GALAXY,437184898,182.58,1,1,6,None,Group,None,97.0,2022,2022-06-23,0
30.0,0,0,GALAXY,437184970,17.19,1,1,6,None,None,None,93.0,2022,2022-06-23,0
91.17,2,2,GALAXY,437184999,10.21,2,2,6,None,Individual,None,94.0,2022,2022-06-23,0
35.73,7,7,GALAXY,437185004,78.22,17,17,6,None,Full Season,None,46.0,2022,2022-06-23,0
17.0,6,6,GALAXY,437185033,25.42,13,13,6,None,Full Season,None,60.0,2022,2022-06-23,0
59.38,10,10,GALAXY,437185099,23.58,17,17,6,None,Full Season,Full Season,76.0,2022,2022-06-23,0
19.92,12,12,GALAXY,437185110,11.15,13,13,6,None,Full Season,Full Season,56.00000000000001,2022,2022-06-23,0
35.0,1,1,GALAXY,437185153,20.28,1,1,6,None,Group,None,95.75,2022,2022-06-23,0
55.25,6,6,GALAXY,437185163,10.45,6,6,6,None,Partial Plan,Partial Plan,44.769999999999996,2022,2022-06-23,0
52.14,4,4,GALAXY,437185173,15.96,5,5,6,None,Individual,Full Season,51.0,2022,2022-06-23,0
21.94,13,13,GALAXY,437185218,10.67,17,17,6,None,Full Season,None,52.0,2022,2022-06-23,0
30.0,5,5,GALAXY,437185219,9.02,13,13,6,None,Full Season,None,69.0,2022,2022-06-23,0
48.55,4,4,GALAXY,437185226,60.55,4,4,6,None,Mini Plan,None,52.0,2022,2022-06-23,0
35.0,13,13,GALAXY,437185233,15.27,13,13,6,None,Full Season,Full Season,83.0,2022,2022-06-23,0
47.5,1,1,GALAXY,437185308,63.61,1,1,6,None,Individual,None,91.0,2022,2022-06-23,0
79.2,2,2,GALAXY,437185348,64.41,2,2,6,None,Individual,None,95.0,2022,2022-06-23,0
44.26,6,6,GALAXY,437185422,32.27,6,6,6,None,Partial Plan,None,82.5,2022,2022-06-23,0
67.0,1,1,GALAXY,437185451,25.56,1,1,6,None,Individual,None,89.0,2022,2022-06-23,0
22.0,13,13,GALAXY,437185458,21.52,13,13,6,None,Full Season,Full Season,82.0,2022,2022-06-23,0
21.48,12,12,GALAXY,437185700,101.81,13,13,6,None,Full Season,None,44.0,2022,2022-06-23,0
44.9,0,0,GALAXY,437185748,92.91,2,2,6,None,Individual,None,95.0,2022,2022-06-23,0
80.0,0,0,GALAXY,437185749,152.79,1,1,6,None,None,None,86.0,2022,2022-06-23,0
22.0,1,1,GALAXY,437185750,20.75,7,7,6,None,Full Season,None,71.0,2022,2022-06-23,0
65.04,2,2,GALAXY,437185760,37.38,5,5,6,None,Individual,None,89.0,2022,2022-06-23,0
50.0,0,0,GALAXY,437185795,40.8,1,1,6,None,None,None,89.0,2022,2022-06-23,0
25.67,11,11,GALAXY,437185899,17.77,13,13,6,None,Full Season,Full Season,83.0,2022,2022-06-23,0
25.0,1,1,GALAXY,437186035,147.22,1,1,6,None,Group,None,100.0,2022,2022-06-23,0
62.5,0,0,GALAXY,437186067,147.22,2,2,6,None,None,None,92.0,2022,2022-06-23,0
22.08,1,1,GALAXY,437186070,147.22,1,1,6,None,Individual,None,85.0,2022,2022-06-23,0
25.39,15,15,GALAXY,437186174,147.22,17,17,6,None,Full Season,Full Season,71.0,2022,2022-06-23,0
40.0,0,0,GALAXY,437186230,54.17,1,1,6,None,None,None,100.0,2022,2022-06-23,0
25.0,0,0,GALAXY,437186250,11.56,1,1,6,None,None,None,100.0,2022,2022-06-23,0
29.06,10,10,GALAXY,437186258,35.29,16,16,6,None,Full Season,None,71.0,2022,2022-06-23,0
25.15,1,1,GALAXY,437186264,35.42,1,1,6,None,Group,None,84.19,2022,2022-06-23,0
25.67,17,17,GALAXY,437186425,16.92,17,17,6,None,Full Season,Full Season,100.0,2022,2022-06-23,0
19.07,6,6,GALAXY,437186470,30.34,13,13,6,None,Full Season,None,56.00000000000001,2022,2022-06-23,0
41.51,1,1,GALAXY,437186473,81.49,1,1,6,None,Individual,None,94.92,2022,2022-06-23,0
35.0,0,0,GALAXY,437186507,11.15,1,1,6,None,None,None,55.00000000000001,2022,2022-06-23,0
45.0,0,0,GALAXY,437186567,78.22,1,1,6,None,None,None,82.0,2022,2022-06-23,0
44.0,1,1,GALAXY,437186740,25.67,1,1,6,None,Individual,None,61.0,2022,2022-06-23,0
33.54,1,1,GALAXY,437186748,41.25,1,1,6,None,Individual,None,54.0,2022,2022-06-23,0
31.68,1,1,GALAXY,437186763,60.85,1,1,6,None,Individual,None,97.75,2022,2022-06-23,0
35.0,1,1,GALAXY,437186812,37.38,1,1,6,None,Individual,None,95.75,2022,2022-06-23,0
31.36,2,2,GALAXY,437186912,41.7,2,2,6,None,Group,None,84.0,2022,2022-06-23,0
48.46,1,1,GALAXY,437186918,17.19,1,1,6,None,Individual,None,70.7,2022,2022-06-23,0
23.0,1,1,GALAXY,437186957,12.65,1,1,6,None,Group,None,96.03,2022,2022-06-23,0
66.27,1,1,GALAXY,437186990,25.43,1,1,6,None,Individual,None,93.0,2022,2022-06-23,0
120.0,1,1,GALAXY,437187053,7.5,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
48.46,0,0,GALAXY,437187074,174.75,1,1,6,None,Individual,None,97.0,2022,2022-06-23,0
25.0,1,1,GALAXY,437187181,11.29,1,1,6,None,Group,None,97.42,2022,2022-06-23,0
52.5,1,1,GALAXY,437187241,45.32,1,1,6,None,Individual,None,78.0,2022,2022-06-23,0
60.63,16,16,GALAXY,437187278,3984.55,16,16,6,None,Full Season,Full Season,51.0,2022,2022-06-23,0
21.0,10,10,GALAXY,437187336,10.21,13,13,6,None,Full Season,Full Season,68.0,2022,2022-06-23,0
47.5,1,1,GALAXY,437187429,46.18,1,1,6,None,Individual,None,53.0,2022,2022-06-23,0
103.5,1,1,GALAXY,437187458,4105.87,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
35.0,2,2,GALAXY,437187626,67.19,2,2,6,None,Group,None,52.0,2022,2022-06-23,0
51.5,1,1,GALAXY,437187708,98.46,2,2,6,None,Group,None,80.0,2022,2022-06-23,0
29.0,1,1,GALAXY,437187762,8.74,1,1,6,None,Individual,None,92.0,2022,2022-06-23,0
52.5,1,1,GALAXY,437187853,60.85,1,1,6,None,Individual,Group,65.0,2022,2022-06-23,0
32.22,16,16,GALAXY,437187859,10.96,16,16,6,None,Full Season,Full Season,91.0,2022,2022-06-23,0
31.99,12,12,GALAXY,437187875,11.29,12,12,6,None,Full Season,Full Season,77.0,2022,2022-06-23,0
59.5,1,1,GALAXY,437187956,37.66,1,1,6,None,Individual,None,87.5,2022,2022-06-23,0
85.0,0,0,GALAXY,437188098,13.2,1,1,6,None,None,None,92.0,2022,2022-06-23,0
32.0,1,1,GALAXY,437188134,37.49,2,2,6,None,Group,None,62.0,2022,2022-06-23,0
19.41,16,16,GALAXY,437188144,18.5,16,16,6,None,Full Season,Full Season,95.0,2022,2022-06-23,0
29.34,15,15,GALAXY,437188151,92.91,16,16,6,None,Full Season,Full Season,93.0,2022,2022-06-23,0
80.96,1,1,GALAXY,437188229,40.11,1,1,6,None,Individual,None,92.0,2022,2022-06-23,0
46.5,1,1,GALAXY,437188376,23.86,1,1,6,None,Individual,None,93.0,2022,2022-06-23,0
27.27,8,8,GALAXY,437188460,87.47,10,10,6,None,Partial Plan,None,62.0,2022,2022-06-23,0
35.57,0,0,GALAXY,437188473,16.92,2,2,6,None,Individual,None,91.0,2022,2022-06-23,0
46.11,2,2,GALAXY,437188474,6.27,2,2,6,None,Individual,None,57.99999999999999,2022,2022-06-23,0
75.0,0,0,GALAXY,437188484,40.0,2,2,6,None,None,None,98.0,2022,2022-06-23,0
15.73,0,0,GALAXY,437188499,10.21,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
84.0,1,1,GALAXY,437188527,7.37,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
31.25,10,10,GALAXY,437188569,32.73,13,13,6,None,Full Season,Full Season,56.00000000000001,2022,2022-06-23,0
28.0,0,0,GALAXY,437188591,24.16,2,2,6,None,None,None,82.0,2022,2022-06-23,0
39.6,1,1,GALAXY,437188826,27.13,1,1,6,None,Individual,None,82.62,2022,2022-06-23,0
35.0,1,1,GALAXY,437188865,1970.71,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
25.0,0,0,GALAXY,437188903,23.86,1,1,6,None,Group,None,100.0,2022,2022-06-23,0
21.33,10,10,GALAXY,437188909,391.12,11,11,6,None,Full Season,None,43.0,2022,2022-06-23,0
38.28,3,3,GALAXY,437188948,91.93,3,3,6,None,Individual,None,45.0,2022,2022-06-23,0
72.8,1,1,GALAXY,437188968,9.87,1,1,6,None,Individual,None,99.0,2022,2022-06-23,0
23.14,16,16,GALAXY,437189043,15.16,16,16,6,None,Full Season,Full Season,83.0,2022,2022-06-23,0
12.5,1,1,GALAXY,437189056,14.33,1,1,6,None,Group,None,61.27,2022,2022-06-23,0
28.15,16,16,GALAXY,437189066,17.19,16,16,6,None,Full Season,Full Season,61.0,2022,2022-06-23,0
30.0,0,0,GALAXY,437189095,32.08,1,1,6,None,None,None,100.0,2022,2022-06-23,0
32.55,17,17,GALAXY,437189128,7.5,17,17,6,None,Full Season,Full Season,96.0,2022,2022-06-23,0
46.0,1,1,GALAXY,437189134,37.49,1,1,6,None,Individual,Mini Plan,66.0,2022,2022-06-23,0
54.99,1,1,GALAXY,437189169,81.07,1,1,6,None,Individual,None,80.5,2022,2022-06-23,0
0.0,17,17,GALAXY,437189224,44.19,17,17,6,None,Mini Plan,Full Season,54.0,2022,2022-06-23,0
35.65,11,11,GALAXY,437189253,9.77,13,13,6,None,Full Season,Full Season,63.0,2022,2022-06-23,0
27.41,14,14,GALAXY,437189254,3191.47,14,14,6,None,Full Season,Full Season,79.0,2022,2022-06-23,0
39.6,1,1,GALAXY,437189340,32.73,1,1,6,None,Individual,None,97.25,2022,2022-06-23,0
45.24,2,2,GALAXY,437189388,32.46,2,2,6,None,Individual,None,96.0,2022,2022-06-23,0
29.84,11,11,GALAXY,437189436,63.32,15,15,6,None,Full Season,None,56.99999999999999,2022,2022-06-23,0
51.26,1,1,GALAXY,437189539,68.72,1,1,6,None,Individual,Group,56.99999999999999,2022,2022-06-23,0
39.16,1,1,GALAXY,437189650,14.47,1,1,6,None,Individual,None,76.5,2022,2022-06-23,0
25.15,1,1,GALAXY,437189652,23.7,1,1,6,None,Group,Group,62.0,2022,2022-06-23,0
84.0,0,0,GALAXY,437189672,35.93,1,1,6,None,Individual,None,99.0,2022,2022-06-23,0
46.0,1,1,GALAXY,437189683,49.18,1,1,6,None,Individual,None,98.0,2022,2022-06-23,0
19.13,14,14,GALAXY,437189728,2.28,14,14,6,None,Full Season,Full Season,82.0,2022,2022-06-23,0
33.5,0,0,GALAXY,437189761,356.61,1,1,6,None,None,None,98.0,2022,2022-06-23,0
33.3,12,12,GALAXY,437189763,28.68,17,17,6,None,Full Season,Full Season,52.0,2022,2022-06-23,0
35.87,2,2,GALAXY,437189764,10.49,2,2,6,None,Individual,None,57.99999999999999,2022,2022-06-23,0
84.0,0,0,GALAXY,437189792,81.49,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
36.0,0,0,GALAXY,437189844,35.09,2,2,6,None,None,None,100.0,2022,2022-06-23,0
35.0,0,0,GALAXY,437189868,23.86,1,1,6,None,None,None,76.5,2022,2022-06-23,0
48.05,2,2,GALAXY,437190023,23.7,2,2,6,None,Group,None,60.0,2022,2022-06-23,0
24.29,16,16,GALAXY,437190043,45.28,16,16,6,None,Full Season,Full Season,98.0,2022,2022-06-23,0
62.67,1,1,GALAXY,437190074,15.16,1,1,6,None,Individual,Full Season,68.0,2022,2022-06-23,0
37.73,1,1,GALAXY,437190119,40.69,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
59.5,1,1,GALAXY,437190384,197.97,1,1,6,None,Individual,None,76.0,2022,2022-06-23,0
27.0,0,0,GALAXY,437190413,8.23,1,1,6,None,None,None,99.0,2022,2022-06-23,0
20.0,0,0,GALAXY,437190415,9.35,1,1,6,None,None,None,99.0,2022,2022-06-23,0
21.14,1,1,GALAXY,437190428,2179.63,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
47.5,1,1,GALAXY,437190513,27.17,1,1,6,None,Individual,None,98.0,2022,2022-06-23,0
47.44,10,10,GALAXY,437190617,43.69,15,15,6,None,Full Season,Full Season,50.0,2022,2022-06-23,0
93.5,1,1,GALAXY,437190673,44.16,1,1,6,None,Individual,None,99.0,2022,2022-06-23,0
64.0,13,13,GALAXY,437190681,28.68,13,13,6,None,Full Season,Full Season,74.0,2022,2022-06-23,0
28.64,15,15,GALAXY,437190683,35.29,17,17,6,None,Full Season,None,60.0,2022,2022-06-23,0
79.0,1,1,GALAXY,437190694,1978.33,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
127.0,1,1,GALAXY,437190783,4.59,1,1,6,None,Individual,None,93.25,2022,2022-06-23,0
45.13,2,2,GALAXY,437191139,6.79,2,2,6,None,Individual,None,53.0,2022,2022-06-23,0
51.5,1,1,GALAXY,437191203,15.27,1,1,6,None,Individual,None,81.67,2022,2022-06-23,0
57.22,1,1,GALAXY,437191237,5.64,1,1,6,None,Individual,None,48.85,2022,2022-06-23,0
49.0,1,1,GALAXY,437191273,6.75,1,1,6,None,Individual,None,91.0,2022,2022-06-23,0
25.15,1,1,GALAXY,437191371,9.77,1,1,6,None,Group,None,80.67,2022,2022-06-23,0
30.0,0,0,GALAXY,437191435,32.27,1,1,6,None,None,None,100.0,2022,2022-06-23,0
56.0,1,1,GALAXY,437191471,10.67,1,1,6,None,Individual,Individual,70.0,2022,2022-06-23,0
47.5,1,1,GALAXY,437191511,76.4,1,1,6,None,Individual,None,83.0,2022,2022-06-23,0
15.73,1,1,GALAXY,437191564,7.5,1,1,6,None,Individual,Group,52.5,2022,2022-06-23,0
93.5,1,1,GALAXY,437191594,17.23,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
73.5,1,1,GALAXY,437191610,10.21,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
52.14,3,3,GALAXY,437191633,17.19,3,3,6,None,Group,Full Season,45.0,2022,2022-06-23,0
30.0,0,0,GALAXY,437191752,12.9,1,1,6,None,None,None,99.75,2022,2022-06-23,0
35.0,0,0,GALAXY,437191814,31.89,1,1,6,None,None,None,69.0,2022,2022-06-23,0
25.33,1,1,GALAXY,437191912,92.97,1,1,6,None,Individual,None,91.0,2022,2022-06-23,0
30.0,0,0,GALAXY,437191958,14.66,2,2,6,None,None,None,96.0,2022,2022-06-23,0
29.0,1,1,GALAXY,437191981,390.53,1,1,6,None,Individual,None,99.0,2022,2022-06-23,0
50.0,0,0,GALAXY,437191983,99.86,1,1,6,None,None,None,94.0,2022,2022-06-23,0
93.6,1,1,GALAXY,437192003,11.29,1,1,6,None,Individual,None,77.0,2022,2022-06-23,0
26.5,0,0,GALAXY,437192231,33.48,2,2,6,None,None,None,98.0,2022,2022-06-23,0
100.0,1,1,GALAXY,437192250,50.59,1,1,6,None,Individual,None,99.83,2022,2022-06-23,0
52.5,1,1,GALAXY,437192282,50.12,1,1,6,None,Individual,None,81.0,2022,2022-06-23,0
36.8,1,1,GALAXY,437192312,31.48,1,1,6,None,Individual,None,96.0,2022,2022-06-23,0
76.4,3,3,GALAXY,437192348,26.3,3,3,6,None,Individual,Individual,39.0,2022,2022-06-23,0
65.0,0,0,GALAXY,437192426,7.37,2,2,6,None,None,None,91.0,2022,2022-06-23,0
30.0,1,1,GALAXY,437192460,11.15,1,1,6,None,Group,None,90.83,2022,2022-06-23,0
66.5,1,1,GALAXY,437192464,225.83,1,1,6,None,Individual,None,74.0,2022,2022-06-23,0
35.0,0,0,GALAXY,437192481,4.86,1,1,6,None,None,None,40.0,2022,2022-06-23,0
37.6,13,13,GALAXY,437192538,75.87,13,13,6,None,Full Season,Full Season,98.0,2022,2022-06-23,0
100.0,1,1,GALAXY,437192577,8.67,1,1,6,None,Individual,None,96.0,2022,2022-06-23,0
27.13,12,12,GALAXY,437192603,96.72,14,14,6,None,Full Season,Full Season,79.0,2022,2022-06-23,0
125.5,2,2,GALAXY,437192633,86.23,3,3,6,None,Individual,None,42.0,2022,2022-06-23,0
22.0,0,0,GALAXY,437192673,37.68,13,13,6,None,Full Season,None,74.0,2022,2022-06-23,0
51.5,1,1,GALAXY,437192754,9.87,1,1,6,None,Individual,None,90.75,2022,2022-06-23,0
26.96,15,15,GALAXY,437192906,32.27,15,15,6,None,Full Season,Full Season,53.0,2022,2022-06-23,0
78.11,1,1,GALAXY,437192916,13.2,1,1,6,None,Individual,None,49.55,2022,2022-06-23,0
40.48,1,1,GALAXY,437192926,553.88,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
96.0,0,0,GALAXY,437192995,50.16,1,1,6,None,None,None,100.0,2022,2022-06-23,0
60.0,1,1,GALAXY,437193076,18.75,1,1,6,None,Group,None,60.0,2022,2022-06-23,0
52.21,2,2,GALAXY,437193083,145.35,2,2,6,None,Individual,Individual,35.0,2022,2022-06-23,0
55.0,0,0,GALAXY,437193136,15.96,1,1,6,None,None,None,99.0,2022,2022-06-23,0
122.99,1,1,GALAXY,437193142,11.56,1,1,6,None,Individual,None,86.0,2022,2022-06-23,0
62.0,1,1,GALAXY,437193160,15.59,3,3,6,None,Individual,None,83.0,2022,2022-06-23,0
100.0,1,1,GALAXY,437193163,354.49,1,1,6,None,Individual,None,100.0,2022,2022-06-23,0
26.78,11,11,GALAXY,437193193,9.61,13,13,6,None,Full Season,Full Season,59.0,2022,2022-06-23,0
25.33,1,1,GALAXY,437193243,15.16,1,1,6,None,Individual,None,95.27,2022,2022-06-23,0
34.48,1,1,GALAXY,437193310,9.45,1,1,6,None,Individual,None,82.92,2022,2022-06-23,0
45.43,14,14,GALAXY,437193322,92.91,14,14,6,None,Full Season,None,62.0,2022,2022-06-23,0
127.0,1,1,GALAXY,437193326,64.41,1,1,6,None,Individual,None,97.0,2022,2022-06-23,0
47.5,1,1,GALAXY,437193332,95.08,1,1,6,None,Individual,None,95.0,2022,2022-06-23,0
41.72,1,1,GALAXY,437193375,64.73,2,2,6,None,Group,None,85.0,2022,2022-06-23,0
50.0,0,0,GALAXY,437193486,17.19,1,1,6,None,None,None,92.0,2022,2022-06-23,0
23.31,9,9,GALAXY,437193490,70.29,16,16,6,None,Full Season,None,62.0,2022,2022-06-23,0
67.0,1,1,GALAXY,437193515,160.34,1,1,6,None,Individual,None,98.0,2022,2022-06-23,0
