Model,Feature Raw,Feature,Data Type,Source,Engineered,Description
Retention,open_email,Opened Marketing Email,int64,Marketing,TRUE,Total number of activities a customer opened an marketing email
Retention,openToSendRatio,Open to Send Ratio,float64,Marketing,TRUE,Total number of opened marketing email devided by sent email
Retention,outbound_email,No. Outbound Emails from Rep,int64,Touchpoint Data,TRUE,Total number of outband activity in email
Retention,outbound_phonecall,No. Outbound Phonecalls from Rep,int64,Touchpoint Data,TRUE,Total number of outband activity in phone call
Retention,phonecall,Phonecall,int64,Touchpoint Data,TRUE,Total number of phonecall activities in touchpoint data
Retention,posting_records,Posting Records,int64,Secondary,TRUE,Total number of Ticket Exchange posting records in a season year for a customer
Retention,productGrouping,Product,object,dimProduct,FALSE,Scored product
Retention,recency,Recency,int64,Ticketing,TRUE,Recency is based on the most recently attended event
Event Propensity,recent_clickRate,Recent Email Click Rate,float64,Marketing,TRUE,"Total number of clicked email divided by total number of opened email. For true purchases (training), scoped to the week prior to purchase date. For potential purchases (training + scoring), scoped to the week prior to the date corresponding to minDaysOut"
Event Propensity,recent_openRate,Recent Email Open Rate,float64,Marketing,TRUE,"Total number of opened email divided by total number of sent email. For true purchases (training), scoped to the week prior to purchase date. For potential purchases (training + scoring), scoped to the week prior to the date corresponding to minDaysOut"
Retention,recentDate,Last Attendance Date,object,Ticketing,TRUE,The last event date that a customer attended the game
Retention,recentDate_month_1,Attendance Month - January,object,Pycaret,TRUE,Represents the month of the recentDate feature (1 = January)
Retention,recentDate_month_10,Attendance Month - October,object,Pycaret,TRUE,Represents the month of the recentDate feature (10 = October)
Retention,recentDate_month_11,Attendance Month - November,object,Pycaret,TRUE,Represents the month of the recentDate feature (11 = November)
Retention,recentDate_month_2,Attendance Month - February,object,Pycaret,TRUE,Represents the month of the recentDate feature (2 = February
Retention,recentDate_month_3,Attendance Month - March,object,Pycaret,TRUE,Represents the month of the recentDate feature (3 =March)
Retention,recentDate_month_4,Attendance Month - April,object,Pycaret,TRUE,Represents the month of the recentDate feature (4 = April)
Retention,recentDate_month_5,Attendance Month - May,object,Pycaret,TRUE,Represents the month of the recentDate feature (5 = May)
Retention,recentDate_month_6,Attendance Month - June,object,Pycaret,TRUE,Represents the month of the recentDate feature (6 = June)
Retention,recentDate_month_7,Attendance Month - July,object,Pycaret,TRUE,Represents the month of the recentDate feature (7 = July)
Retention,recentDate_month_8,Attendance Month - August,object,Pycaret,TRUE,Represents the month of the recentDate feature (8 = August)
Retention,recentDate_month_9,Attendance Month - September,object,Pycaret,TRUE,Represents the month of the recentDate feature (9 = September)
Retention,recentDate_weekday_0,Attendance Day - Sunday,object,Pycaret,TRUE,Represents the day of the recentDate feature (0 = Sunday)
Retention,recentDate_weekday_1,Attendance Day - Monday,object,Pycaret,TRUE,Represents the day of the recentDate feature (1 = Monday)
Retention,recentDate_weekday_2,Attendance Day - Tuesday,object,Pycaret,TRUE,Represents the day of the recentDate feature (2 = Tuesday)
Retention,recentDate_weekday_3,Attendance Day - Friday,object,Pycaret,TRUE,Represents the day of the recentDate feature (3 = Wednesday)
Retention,recentDate_weekday_4,Attendance Day - Sunday,object,Pycaret,TRUE,Represents the day of the recentDate feature (4 = Thursday)
Retention,recentDate_weekday_5,Attendance Day - Friday,object,Pycaret,TRUE,Represents the day of the recentDate feature (5 = Friday)
Retention,recentDate_weekday_6,Attendance Day - Saturday,object,Pycaret,TRUE,Represents the day of the recentDate feature (6 = Saturday)
Retention,renewedBeforeDays,Time to Renew,int64,Ticketing,TRUE,The number of days a customer bought a ticket before game
Retention,resale_atp,Secondary ATP,float64,Secondary,TRUE,Total number of Ticket Exchange resale ATP in a season year for a customer
Retention,resale_records,Resale Records,int64,Secondary,TRUE,Total number of Ticket Exchange resale records in a season year for a customer
Retention,send_email,No. Marketing Email Sends,int64,Marketing,TRUE,Total number of activities a customer Sent an marketing email
Retention,source_tenure,Tenure (Provided by Team),int64,Ticketing,TRUE,Source tenure for the customer provided by the team
Event Propensity,tenure,Tenure,int64,Ticketing,TRUE,Number of seasons elapsed since the fans first purchase (as of the potential purchase date)
Retention,tenure,Tenure,int64,Ticketing,TRUE,Days between first ticketing purchase date to the latest event date for a customer
Retention,totalGames,Total Games Attended,int64,Ticketing,TRUE,"Total attended games by customer, season and product"
Retention,totalSpent,Total Ticketing Spend,float64,Ticketing,TRUE,Total amount of dollars spent for the season
Retention,unsubscribe_email,No. Email Marketing Unsubscribes,int64,Marketing,TRUE,Total number of activities a customer unsibscribed an marketing email
Retention,urbanicity,Urbanicity,object,Demographic Data,TRUE,Represents if the customer lives in an urban or suburban area
Retention,year,Year,int64,dimSeason,FALSE,Scored season year
